,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,1.0,0.21001322086661445,0.8687440089726067,1.0920728870304148e-05,0.43329003572229563,0.43329003572229563,0.9506474531044262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998003013080743,1.0,0.9989066932355246,1.0,1.0,1.0,0.9999756967813106,0.9953196537384074,0.659031804840492,0.98371038789693,0.9896228372586106
static01.nytimes.com,0.21001322086661445,1.0,0.9850325439820455,3.4334871592351668e-06,0.8070643157854503,0.8070643157854503,0.9883216373411897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981139784516425,1.0,1.0,1.0,1.0,0.9999952684352184,0.9094861013156097,0.9999834295598191,0.9992570668947444
purr.nytimes.com,0.8687440089726067,0.9850325439820455,1.0,0.864616609901312,0.9919791184378103,0.9919791184378103,0.9992531366879994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848230710430466,1.0,0.9999985795248638
nytimes.com,1.0920728870304148e-05,3.4334871592351668e-06,0.864616609901312,1.0,0.2127725155528075,0.2127725155528075,0.8638307391839612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9806887318298572,1.0,1.0,1.0,0.9999989955484506,0.9993174545829813,0.41036245113790054,0.9976122305522496,0.9933308724987603
nyt.com,0.43329003572229563,0.8070643157854503,0.9919791184378103,0.2127725155528075,1.0,0.8279535723993162,0.9811557629110079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994285903932968,1.0,1.0,1.0,0.999998479521731,0.9992877401066234,0.9899806911954531,0.9975084949236174,0.9998801455003195
g1.nyt.com,0.43329003572229563,0.8070643157854503,0.9919791184378103,0.2127725155528075,0.8279535723993162,1.0,0.9811557629110079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994285903932968,1.0,1.0,1.0,0.999998479521731,0.9992877401066234,0.9899806911954531,0.9975084949236174,0.9998801455003195
a.nytimes.com,0.9506474531044262,0.9883216373411897,0.9992531366879994,0.8638307391839612,0.9811557629110079,0.9811557629110079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987458143301127,1.0,1.0,1.0,0.9999994977740992,0.9996799540889185,0.9868680185306975,0.9988798830408405,0.9999994977740992
wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113811288304666,0.7113811288304666,0.8661252112855752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113811288304666,1.0,0.14022102101010897,0.7113811288304663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995671789766557,0.9995047058626756,0.9999060189917389,1.0,0.9996826692254175,0.9990096570416338
upload.wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113811288304666,0.14022102101010897,1.0,0.7113811288304663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995671789766557,0.9995047058626756,0.9999060189917389,1.0,0.9996826692254175,0.9990096570416338
