,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,0.0,214.41163594161216,14.056642658347807,1419.8201937717884,121.56497673984329,121.56497673984329,14.199351633664467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.820943503631947,0.0,0.8858953112492963
static01.nytimes.com,214.41163594161216,0.0,0.0,16122.38927087361,75.29992878950253,75.29992878950253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48198621928884,0.0,0.0
purr.nytimes.com,14.056642658347807,0.0,0.0,181.8831226702773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6351579969439513,0.0,0.0
nytimes.com,1419.8201937717884,16122.38927087361,181.8831226702773,0.0,404.85025906416485,404.85025906416485,150.40471035185857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2492561155072588,0.0,0.0,0.0,0.0,0.0,233.64380735955427,0.0,0.0
nyt.com,121.56497673984329,75.29992878950253,0.0,404.85025906416485,0.0,365.96618584132074,6.013837209625928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.484210300160779,0.0,0.0
g1.nyt.com,121.56497673984329,75.29992878950253,0.0,404.85025906416485,365.96618584132074,0.0,6.013837209625928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.484210300160779,0.0,0.0
a.nytimes.com,14.199351633664467,0.0,0.0,150.40471035185857,6.013837209625928,6.013837209625928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246280577536294,0.0,0.0,0.0,0.0,0.0,3.0600326155719473,0.0,0.0
wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.46153479842971,56.46153479842971,227.06648406859622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.46153479842971,0.0,2440.0393217737865,56.461534798429724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upload.wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.46153479842971,2440.0393217737865,0.0,56.461534798429724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en.wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.06648406859622,56.461534798429724,56.461534798429724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmg.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619897264753651,4.8692236762782635,4.992545069070948,4.887997620884719,37.60493727503635,35.61711196355653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619897264753651,0.0,34.45534454128616,28.310516799004596,28.296312969470325,5.874405752150435,5.397853399572712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8692236762782635,34.45534454128616,0.0,59.80111648710325,59.60974378193501,6.774153570893023,4.634504506338782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.992545069070948,28.310516799004596,59.80111648710325,0.0,64.00931750563615,7.2258367279730935,4.770003500883627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.887997620884719,28.296312969470325,59.60974378193501,64.00931750563615,0.0,7.149266381190784,4.646051641913632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-ams4-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.60493727503635,5.874405752150435,6.774153570893023,7.2258367279730935,7.149266381190784,0.0,35.70517815628287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-ams2-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.61711196355653,5.397853399572712,4.634504506338782,4.770003500883627,4.646051641913632,35.70517815628287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.cat.com,0.0,0.0,0.0,0.2492561155072588,0.0,0.0,0.1246280577536294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.11412077979395,68.11412077979395,0.0,0.0,0.0,0.0,0.0,0.0
scene7.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.11412077979395,0.0,1143.8514166088557,0.0,0.0,0.0,0.0,0.0,0.0
s7d2.scene7.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.11412077979395,1143.8514166088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.netflix.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87516755472333,25.967461166503316,198.5672397104949,85.84291562458463,11.479891840427033
web.prod.cloud.netflix.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87516755472333,0.0,45.72261753048638,94.94250326281096,151.61379591222408,1534.6710162062388
